market_id,topic,question,event_family_id,family_size,representative_market_id,selection_hash,disposition
563772,Politics,Will Zohran Mamdani win Staten Island in the 2025 New York City Mayoral General Election?,us:nyc:mayor:2025,7,588920,1884c724806ea00e01ce21301a0c90c9653456bb13383f880e5403ece9967cc6,replace_family_overlap
1570168,Politics,Will Tisza win 130+ seats in the Hungarian National Assembly in this election?,hu:parliament:2026,7,1570885,3365b756a351b7ea3cf4aa651ea69cee57493fc22c6f48891f9ebd926cd34f54,replace_family_overlap
578634,Politics,Will the Patient Focus (PF) win a seat in Norwegian Election?,no:parliament:2025,12,586339,bd6cc7366e1b203fe1232ebf12bf9649b3fd3f4456a6192eee7f28bce8c7074a,replace_family_overlap
3409050,Politics,Will Peggy Flanagan win Dakota County in the Minnesota Democratic Senate primary?,election:mn-senate-dem:2026-primary,2,2938013,0e9f3412ae4bc905d4d5d1bba317d550801b0c67c9dd6fb0e1dec1f7d847ae96,replace_family_overlap
530746,Politics,Will Stačilo! win the most seats in the next Czech parliamentary election?,cz:parliament:2025,5,580898,12a340c475a130d2d72c0c649da72313badb65448c9f1240e234f05a3265489b,replace_family_overlap
1353145,Politics,Will turnout in the Bangladesh parliamentary election be 90% or higher?,bd_parliament_2026,2,949286,3a8f3be2499d82d56bd044c38ff6f5bfd52b3733c1b06fccdef54255493a27b2,replace_family_overlap
1666599,Politics,Will TISZA – Respect and Freedom Party (TISZA) finish with the third-most seats in the next Hungarian parliamentary election?,hu:parliament:2026,7,1570885,0a05cbb6a1c6297f38d1a2eb9f6e5e4e42260155772dbaf850d4e91bd7f9b189,replace_family_overlap
1231100,Politics,Will Laura Virginia Fernández Delgado win the first round by 2–4%?,cr_president_2026_round1,3,676453,0a1265acacc66b3699e53d1d24e6b07463a52b58ce27044b39d4e7fafed5da88,replace_family_overlap
1065660,Politics,Will Luís Marques Mendes win between 18% and 20% of votes in the first round?,pt:presidential:2026,9,1182060,213253d0bb91d9c858d72fa1449749e5c4ac1792f8818557739679270b4bd62c,replace_family_overlap
608423,Politics,Will Zohran Mamdani win by 30% or more?,us:nyc:mayor:2025,7,588920,98fcd54fe6d7eff0a4b4d245d3a93212db29ceb53fc5a8150c2851b97ef020d2,replace_family_overlap
578612,Politics,Will the Labour Party (Ap) win 27% or more of vote in Norwegian election?,no:parliament:2025,12,586339,5a9820e6781ae49df17f0a7175262c1f6493e32ef6eca089f19ed0f3ae835c39,replace_family_overlap
620109,Politics,Netherlands Parliamentary Election: GL-PvdA vs CDA,nl:parliament:2025,4,641171,f187a2294d31cf6afbf5d8cc4eef7d3335d2c182a9d8e199a265d3a6c1102d00,replace_family_overlap
551981,Politics,Will Zellnor Myrie win second place in the 2025 NYC mayoral election?,us:nyc:mayor:2025,7,588920,335694b91a92110dd454d09b93dac80ad6737ac4629c7271677279ea11b9795d,replace_family_overlap
1578761,Politics,Will TISZA win 54%+ of the national list votes in the 2026 Hungarian Parliamentary election?,hu:parliament:2026,7,1570885,482359be84ed4b88974e21d9dae04ead59434bc2dcd81d37c08beef8a42794f1,replace_family_overlap
1231335,Politics,Will turnout in the second round of the 2026 Portuguese presidential election be at least 56%?,pt:presidential:2026,9,1182060,0a290f01e5dd9d4294ef8a17bd35d327c4096ce4d36aca738dbfd3a38207d40b,replace_family_overlap
579262,Politics,Which Bloc Wins most seats in Norway election?,no:parliament:2025,12,586339,b15439229bec3c9ec1b11378c32e3648078945906acadc13ebdca22fba6ea5e3,replace_family_overlap
580897,Politics,Will Motoristé get more than 9% of the vote in the Czech election?,cz:parliament:2025,5,580898,087fba6b7b064ce64031326ff1c7f25cf9d1171bec1256fecd14d99c6636f556,replace_family_overlap
701387,Politics,Will Anca Alexandrescu finish third in the 2025 Bucharest mayoral by-election?,ro:bucharest:mayor:2025,6,799377,10f33ebef4ffd4ed91c17cbd350f12e76d90352da3e1db8f0450629657951d54,replace_family_overlap
578688,Politics,Will the red bloc win less than 78 seats in the Norwegian election?,no:parliament:2025,12,586339,6047344ac7cccf2ccbf3203be6b784fd0341b827f673b100abe5569eaaa87a77,replace_family_overlap
648706,Politics,Netherlands Parliamentary Election: FVD vs SP,nl:parliament:2025,4,641171,4209df910653cca9c8fdd2b57b3b0f37167c11e55d5ed79510a08c91d3a7772b,replace_family_overlap
2929029,Politics,Greater Manchester Mayoral Election: Restore receives 10%+ first preference votes?,uk_greater_manchester_mayor_2026,2,2607856,fa68c4f2c5ab764ecb682319f1fe456247b4b4098be3c64d9f6d864d578564b5,replace_family_overlap
578613,Politics,Will the Progress Party (FrP) win 22% or more of vote in Norwegian election?,no:parliament:2025,12,586339,118af789453ffd8c87c358904adea3d520dc804bba556a94b07578be3d6dd206,replace_family_overlap
648709,Politics,Netherlands Parliamentary Election: DENK vs BBB,nl:parliament:2025,4,641171,391f446f5a36b7d1ad06d9c44e3ac9c1ca1c2539e9f07558c553803441f66cd4,replace_family_overlap
739866,Politics,Will Anca Alexandrescu get less than 5% of the vote in the Bucharest Mayoral election?,ro:bucharest:mayor:2025,6,799377,102b54884515a23e672a0e094e9014e7ee1db827debfb6d4c1fd597018b18578,replace_family_overlap
1181997,Politics,Will Luís Marques Mendes win 3rd place in the 1st round of the 2026 Portugal presidential election?,pt:presidential:2026,9,1182060,03fe58ceaf5ab426f5f2c76366588dad795f1233526eff0b79911d21688ab251,replace_family_overlap
586349,Politics,Will the Labour Party (Ap) win more than 55 seats in the Norwegian election?,no:parliament:2025,12,586339,4105ef4047392246d32cbad58c45bb772df5548c3f894c78f7aa0234beb0ecf0,replace_family_overlap
739833,Politics,Will Daniel Băluță get between 30% and 35% of the vote in the Bucharest Mayoral election?,ro:bucharest:mayor:2025,6,799377,1bd2bf53418da7c9be85b7b0348e8cc884ab8dbd12985cf8bc8d9038d719e213,replace_family_overlap
